PASTURE,BURN STATUS,Grazing Status,MapUnit_12,UTM_X,UTM_Y,Elevation (m),Predicted MAP (mm/yr),Average NPG Biomass (g m⁻²),Std Dev NPG Biomass,Average IPG Biomass (g m⁻²),Std Dev IPG Biomass,Total Grass Biomass (g m⁻²),Fraction Invasive Biomass,Predicted MAP (mm/yr) X,Average NPG Biomass (g m⁻²) X,Average IPG Biomass (g m⁻²) X,Total Grass Biomass (g m⁻²) X
2S,Not Burned,Grazed,Qi3,510062,3520021,1058.050049,350.3674474,42.31832064,26.03740542,26.6712175,24.73319422,68.98953814,0.386598,167.2281928,55.42115173,42.34136284,151.5840062
2S,Not Burned,Grazed,Qy,510022,3519838,1058.910034,350.627692,0.321264284,0.393556827,1.212471901,1.654886597,1.533736184,0.790534848,167.4767134,-6.956836639,1.810121468,8.082944384
2S,Not Burned,Grazed,Qy,510740,3518603,1092.27002,360.7229296,1.765464019,1.183570045,0.05,0,1.815464019,0.027541168,177.2595724,4.619544498,-20.9493263,11.56707194
2S,Not Burned,Grazed,Qi3,513919,3517816,1182.180054,387.9310698,7.211934237,4.702579185,0.628127347,1.014525977,7.840061584,0.080117655,205.0084577,20.7004051,-4.100100182,50.51283246
2S,Not Burned,Grazed,Qy,514183,3518507,1182.349976,387.9824907,5.517910569,5.335994656,5.691248349,4.842370035,11.20915892,0.507731971,205.0628101,17.02670956,19.07070205,62.93480979
6A,Not Burned,Grazed,Qi3,516876,3524425,1183.290039,388.2669682,37.6056025,24.47708212,30.77693192,12.74218267,68.38253442,0.450070068,205.3636357,52.4058365,44.87272229,151.0250341
6A,Not Burned,Grazed,Qy,516964,3524388,1186.300049,389.1778428,73.7032674,30.09641273,74.96794634,52.21159303,148.6712137,0.504253274,206.3283388,71.31418632,62.29346217,206.2893018
6A,Not Burned,Grazed,Qy,517052,3524361,1190.369995,390.4094703,85.36800107,40.86972691,23.70450653,6.392813764,109.0725076,0.217327969,207.6363446,76.04469312,40.3087574,182.6901099
6A,Not Burned,Grazed,Qy,517136,3524342,1193.479981,391.3505991,93.99625318,27.03270878,5.163133034,4.007087992,99.15938622,0.05206903,208.6386223,79.27421983,17.82422867,175.8615513
6A,Not Burned,Grazed,Qy,517238,3524292,1199.430054,393.1511815,34.61719643,17.56802259,81.86280998,36.37845617,116.4800064,0.702805679,210.562921,50.36158946,64.18412544,187.5143883
6A,Not Burned,Grazed,Qi3,516751,3524363,1179.569946,387.1412117,17.6652029,7.429676527,1.969504797,2.206362987,19.6347077,0.100307314,204.1744754,35.70707993,6.679249536,85.31543163
6A,Not Burned,Grazed,Qi3,516795,3524267,1182.640015,388.0702609,7.538305545,8.009667919,5.797680509,3.411695761,13.33598605,0.434739545,205.1556007,21.34028044,19.31052949,69.47185883
6A,Not Burned,Grazed,Qy,516780,3524185,1181.579956,387.7494712,159.4874339,43.37842077,57.47055667,24.00351922,216.9579906,0.264892556,204.8165639,99.00279753,56.77415558,238.234115
6A,Not Burned,Grazed,Qy,516785,3524100,1183.969971,388.4727258,49.81565914,36.65039637,2.062762675,1.490772147,51.87842182,0.039761477,205.581355,59.78917287,7.167982248,134.2831435
6A,Not Burned,Grazed,Qy,516788,3523998,1184.819946,388.7299413,42.68991357,24.72642462,7.264751259,6.197169855,49.95466483,0.145426884,205.8536859,55.64923552,22.30054868,132.0991332
6A,Not Burned,Grazed,Qy,516237,3522446,1192.969971,391.1962624,19.41989535,10.26799394,45.16844518,24.07550451,64.58834054,0.699328157,208.4740923,37.57457179,52.01218395,147.4500685
6A,Not Burned,Grazed,Qy,516268,3522349,1198.569946,392.8908999,25.22465727,7.968465055,53.37950242,17.04259745,78.6041597,0.67909259,210.2842096,43.05234845,55.29053126,160.0116727
